User Name,email,Group Info,Full Name,ReasonForAccess,Host name,Appropriate (Y/N)
boris,,Role Account,System User,authorized_keys on this host.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
chrony,,Role Account,System User,they have running processes.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
dbus,,Role Account,System User,they have running processes.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
dns,,Role Account,System User,they have running processes.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
eek,,Role Account,System User,authorized_keys on this host.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
haldaemon,,Role Account,System User,they have running processes.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
idmauto,,Role Account,System User,authorized_keys on this host.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
ldap,,Role Account,System User,they have a crontab.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
netmon,,Role Account,System User,authorized_keys on this host.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
nobody,,Role Account,System User,they have running processes.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
oncallcp,,Role Account,System User,authorized_keys on this host.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
root,,Role Account,System User,they have a crontab.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
root,,Role Account,System User,they have running processes.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
rpc,,Role Account,System User,they have running processes.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
rpcuser,,Role Account,System User,they have running processes.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
signon,,Role Account,System User,they have a crontab.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
signon,,Role Account,System User,they have running processes.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
smmsp,,Role Account,System User,they have running processes.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
sysauto,,Role Account,System User,they have a crontab.,acctmgmt01.dca.int.untd.com;acctmgmt01.vgs.int.untd.com,
